cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2026-03-31,2026-03-31,INE196A01026,MARICO,Marico Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1355354716 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE987B01026,NATCOPHARM,Natco Pharma Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1352660179 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE956O01016,LENSKART,,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1346975723 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE048G01026,NAVINFLUOR,Navin Fluorine International Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1333473920 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE854D01024,UNITDSPR,United Spirits Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1324446325 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE089C01029,STLTECH,Sterlite Technologies Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1323491639 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE927D01051,JBMA,JBM Auto Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1319732409 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE647A01010,SRF,SRF Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1315552424 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE153T01027,BLS,BLS International Services Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1315048952 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE180A01020,MFSL,Max Financial Services Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1314365246 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE202E01016,IREDA,,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1310532228 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE848E01016,NHPC,NHPC Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1301940494 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE944F01028,RADICO,Radico Khaitan Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1291135199 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE324D01010,LGEINDIA,,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (1287787095 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
